in s,CH1 in V,CH2 in V
-6.240E-06,-6.000E-02,2.000E-02
-6.200E-06,-6.000E-02,2.000E-02
-6.160E-06,-6.000E-02,2.000E-02
-6.120E-06,-6.000E-02,6.000E-02
-6.080E-06,-6.000E-02,2.000E-02
-6.040E-06,-6.000E-02,6.000E-02
-6.000E-06,-6.000E-02,6.000E-02
-5.960E-06,-6.000E-02,2.000E-02
-5.920E-06,-6.000E-02,2.000E-02
-5.880E-06,-6.000E-02,2.000E-02
-5.840E-06,-6.000E-02,2.000E-02
-5.800E-06,-6.000E-02,6.000E-02
-5.760E-06,-6.000E-02,6.000E-02
-5.720E-06,-6.000E-02,6.000E-02
-5.680E-06,-6.000E-02,6.000E-02
-5.640E-06,-6.000E-02,2.000E-02
-5.600E-06,-6.000E-02,2.000E-02
-5.560E-06,-6.000E-02,2.000E-02
-5.520E-06,-6.000E-02,6.000E-02
-5.480E-06,-6.000E-02,2.000E-02
-5.440E-06,-6.000E-02,2.000E-02
-5.400E-06,-6.000E-02,2.000E-02
-5.360E-06,-6.000E-02,2.000E-02
-5.320E-06,-6.000E-02,6.000E-02
-5.280E-06,-6.000E-02,2.000E-02
-5.240E-06,-6.000E-02,2.000E-02
-5.200E-06,-6.000E-02,6.000E-02
-5.160E-06,-6.000E-02,2.000E-02
-5.120E-06,-2.000E-02,2.000E-02
-5.080E-06,-6.000E-02,6.000E-02
-5.040E-06,-6.000E-02,6.000E-02
-5.000E-06,-6.000E-02,6.000E-02
-4.960E-06,-2.000E-02,2.000E-02
-4.920E-06,-6.000E-02,2.000E-02
-4.880E-06,-6.000E-02,6.000E-02
-4.840E-06,-6.000E-02,6.000E-02
-4.800E-06,-6.000E-02,2.000E-02
-4.760E-06,-6.000E-02,6.000E-02
-4.720E-06,-6.000E-02,6.000E-02
-4.680E-06,-6.000E-02,6.000E-02
-4.640E-06,-6.000E-02,2.000E-02
-4.600E-06,-6.000E-02,6.000E-02
-4.560E-06,-6.000E-02,2.000E-02
-4.520E-06,-6.000E-02,2.000E-02
-4.480E-06,-6.000E-02,6.000E-02
-4.440E-06,-6.000E-02,2.000E-02
-4.400E-06,-6.000E-02,6.000E-02
-4.360E-06,-6.000E-02,6.000E-02
-4.320E-06,-6.000E-02,6.000E-02
-4.280E-06,-6.000E-02,2.000E-02
-4.240E-06,-6.000E-02,6.000E-02
-4.200E-06,-6.000E-02,6.000E-02
-4.160E-06,-6.000E-02,2.000E-02
-4.120E-06,-6.000E-02,6.000E-02
-4.080E-06,-6.000E-02,6.000E-02
-4.040E-06,-6.000E-02,6.000E-02
-4.000E-06,-6.000E-02,2.000E-02
-3.960E-06,-6.000E-02,2.000E-02
-3.920E-06,-6.000E-02,6.000E-02
-3.880E-06,-6.000E-02,2.000E-02
-3.840E-06,-6.000E-02,6.000E-02
-3.800E-06,-6.000E-02,2.000E-02
-3.760E-06,-6.000E-02,2.000E-02
-3.720E-06,-6.000E-02,6.000E-02
-3.680E-06,-6.000E-02,6.000E-02
-3.640E-06,-6.000E-02,2.000E-02
-3.600E-06,-6.000E-02,6.000E-02
-3.560E-06,-6.000E-02,6.000E-02
-3.520E-06,-6.000E-02,2.000E-02
-3.480E-06,-6.000E-02,2.000E-02
-3.440E-06,-6.000E-02,6.000E-02
-3.400E-06,-6.000E-02,2.000E-02
-3.360E-06,-6.000E-02,6.000E-02
-3.320E-06,-6.000E-02,2.000E-02
-3.280E-06,-6.000E-02,6.000E-02
-3.240E-06,-6.000E-02,2.000E-02
-3.200E-06,-6.000E-02,6.000E-02
-3.160E-06,-6.000E-02,2.000E-02
-3.120E-06,-6.000E-02,2.000E-02
-3.080E-06,-6.000E-02,6.000E-02
-3.040E-06,-6.000E-02,6.000E-02
-3.000E-06,-6.000E-02,2.000E-02
-2.960E-06,-6.000E-02,6.000E-02
-2.920E-06,-6.000E-02,6.000E-02
-2.880E-06,-6.000E-02,2.000E-02
-2.840E-06,-6.000E-02,6.000E-02
-2.800E-06,-6.000E-02,6.000E-02
-2.760E-06,-6.000E-02,6.000E-02
-2.720E-06,-6.000E-02,2.000E-02
-2.680E-06,-6.000E-02,6.000E-02
-2.640E-06,-6.000E-02,6.000E-02
-2.600E-06,-6.000E-02,6.000E-02
-2.560E-06,-6.000E-02,2.000E-02
-2.520E-06,-6.000E-02,6.000E-02
-2.480E-06,-6.000E-02,6.000E-02
-2.440E-06,-6.000E-02,2.000E-02
