in s,CH1 in V,CH2 in V
-9.078E-03,4.060E+00,2.000E-02
-9.038E-03,4.060E+00,-2.000E-02
-8.998E-03,4.060E+00,2.000E-02
-8.958E-03,4.060E+00,2.000E-02
-8.918E-03,4.020E+00,2.000E-02
-8.878E-03,4.060E+00,2.000E-02
-8.839E-03,4.020E+00,2.000E-02
-8.799E-03,4.020E+00,2.000E-02
-8.759E-03,4.020E+00,2.000E-02
-8.719E-03,4.020E+00,2.000E-02
-8.679E-03,3.980E+00,2.000E-02
-8.639E-03,4.060E+00,2.000E-02
-8.599E-03,4.060E+00,2.000E-02
-8.559E-03,4.060E+00,2.000E-02
-8.519E-03,4.100E+00,2.000E-02
-8.479E-03,4.060E+00,2.000E-02
-8.439E-03,4.100E+00,2.000E-02
-8.399E-03,4.100E+00,2.000E-02
-8.359E-03,4.100E+00,2.000E-02
-8.319E-03,4.100E+00,2.000E-02
-8.279E-03,4.020E+00,2.000E-02
-8.239E-03,4.020E+00,2.000E-02
-8.199E-03,4.100E+00,2.000E-02
-8.159E-03,4.060E+00,2.000E-02
-8.119E-03,4.060E+00,2.000E-02
-8.079E-03,4.060E+00,2.000E-02
-8.039E-03,4.020E+00,2.000E-02
-7.999E-03,4.020E+00,-2.000E-02
-7.959E-03,4.060E+00,2.000E-02
-7.919E-03,4.060E+00,2.000E-02
-7.879E-03,4.020E+00,2.000E-02
-7.839E-03,4.060E+00,2.000E-02
-7.799E-03,4.100E+00,2.000E-02
-7.759E-03,4.100E+00,2.000E-02
-7.719E-03,4.100E+00,2.000E-02
-7.679E-03,4.060E+00,2.000E-02
-7.639E-03,4.060E+00,2.000E-02
-7.599E-03,3.980E+00,2.000E-02
-7.559E-03,4.060E+00,2.000E-02
-7.519E-03,4.100E+00,-2.000E-02
-7.479E-03,3.980E+00,2.000E-02
-7.439E-03,4.060E+00,2.000E-02
-7.399E-03,4.100E+00,2.000E-02
-7.359E-03,4.060E+00,2.000E-02
-7.319E-03,4.020E+00,2.000E-02
-7.279E-03,4.020E+00,2.000E-02
-7.239E-03,4.020E+00,2.000E-02
-7.199E-03,4.060E+00,2.000E-02
-7.159E-03,4.060E+00,2.000E-02
-7.119E-03,4.020E+00,2.000E-02
-7.079E-03,4.060E+00,2.000E-02
-7.039E-03,4.060E+00,2.000E-02
-6.999E-03,4.100E+00,2.000E-02
-6.959E-03,4.060E+00,-2.000E-02
-6.919E-03,4.060E+00,-2.000E-02
-6.879E-03,4.100E+00,2.000E-02
-6.839E-03,4.020E+00,2.000E-02
-6.799E-03,4.060E+00,2.000E-02
-6.759E-03,4.060E+00,2.000E-02
-6.719E-03,4.020E+00,2.000E-02
-6.679E-03,4.060E+00,2.000E-02
-6.639E-03,4.060E+00,2.000E-02
-6.599E-03,4.060E+00,2.000E-02
-6.559E-03,4.020E+00,2.000E-02
-6.519E-03,4.020E+00,2.000E-02
-6.479E-03,4.060E+00,2.000E-02
-6.439E-03,4.020E+00,2.000E-02
-6.399E-03,4.060E+00,2.000E-02
