in s,CH1 in V,CH2 in V
-1.560E-05,3.240E+00,2.000E-02
-1.550E-05,3.240E+00,2.000E-02
-1.540E-05,3.240E+00,2.000E-02
-1.530E-05,3.240E+00,2.000E-02
-1.520E-05,3.240E+00,2.000E-02
-1.510E-05,3.240E+00,2.000E-02
-1.500E-05,3.240E+00,2.000E-02
-1.490E-05,3.240E+00,2.000E-02
-1.480E-05,3.240E+00,2.000E-02
-1.470E-05,3.240E+00,2.000E-02
-1.460E-05,3.240E+00,2.000E-02
-1.450E-05,3.320E+00,2.000E-02
-1.440E-05,3.240E+00,2.000E-02
-1.430E-05,3.320E+00,2.000E-02
-1.420E-05,3.240E+00,2.000E-02
-1.410E-05,3.240E+00,2.000E-02
-1.400E-05,3.240E+00,2.000E-02
-1.390E-05,3.240E+00,2.000E-02
-1.380E-05,3.320E+00,2.000E-02
-1.370E-05,3.240E+00,2.000E-02
-1.360E-05,3.240E+00,2.000E-02
-1.350E-05,3.240E+00,2.000E-02
-1.340E-05,3.320E+00,2.000E-02
-1.330E-05,3.240E+00,2.000E-02
-1.320E-05,3.240E+00,2.000E-02
-1.310E-05,3.240E+00,2.000E-02
-1.300E-05,3.240E+00,2.000E-02
-1.290E-05,3.240E+00,2.000E-02
-1.280E-05,3.240E+00,2.000E-02
-1.270E-05,3.320E+00,2.000E-02
-1.260E-05,3.240E+00,2.000E-02
-1.250E-05,3.240E+00,2.000E-02
-1.240E-05,3.320E+00,2.000E-02
-1.230E-05,3.240E+00,2.000E-02
-1.220E-05,3.240E+00,2.000E-02
-1.210E-05,3.320E+00,-2.000E-02
-1.200E-05,3.240E+00,2.000E-02
-1.190E-05,3.320E+00,2.000E-02
-1.180E-05,3.240E+00,2.000E-02
-1.170E-05,3.240E+00,2.000E-02
-1.160E-05,3.240E+00,2.000E-02
-1.150E-05,3.240E+00,2.000E-02
-1.140E-05,3.240E+00,2.000E-02
-1.130E-05,3.240E+00,2.000E-02
-1.120E-05,3.240E+00,2.000E-02
-1.110E-05,3.240E+00,2.000E-02
-1.100E-05,3.240E+00,2.000E-02
-1.090E-05,3.320E+00,2.000E-02
-1.080E-05,3.320E+00,2.000E-02
-1.070E-05,3.240E+00,2.000E-02
-1.060E-05,3.240E+00,2.000E-02
-1.050E-05,3.320E+00,2.000E-02
-1.040E-05,3.240E+00,2.000E-02
-1.030E-05,3.240E+00,2.000E-02
-1.020E-05,3.240E+00,2.000E-02
-1.010E-05,3.240E+00,2.000E-02
-1.000E-05,3.240E+00,-2.000E-02
-9.900E-06,3.320E+00,2.000E-02
-9.800E-06,3.240E+00,2.000E-02
-9.700E-06,3.240E+00,2.000E-02
-9.600E-06,3.240E+00,2.000E-02
-9.500E-06,3.240E+00,2.000E-02
-9.400E-06,3.240E+00,2.000E-02
-9.300E-06,3.320E+00,2.000E-02
-9.200E-06,3.240E+00,2.000E-02
-9.100E-06,3.240E+00,2.000E-02
-9.000E-06,3.240E+00,2.000E-02
-8.900E-06,3.240E+00,2.000E-02
-8.800E-06,3.240E+00,2.000E-02
-8.700E-06,3.240E+00,2.000E-02
-8.600E-06,3.240E+00,2.000E-02
-8.500E-06,3.240E+00,2.000E-02
-8.400E-06,3.240E+00,2.000E-02
-8.300E-06,3.240E+00,2.000E-02
-8.200E-06,3.240E+00,2.000E-02
-8.100E-06,3.240E+00,2.000E-02
-8.000E-06,3.240E+00,2.000E-02
-7.900E-06,3.240E+00,2.000E-02
-7.800E-06,3.240E+00,2.000E-02
-7.700E-06,3.240E+00,2.000E-02
-7.600E-06,3.240E+00,2.000E-02
-7.500E-06,3.240E+00,2.000E-02
-7.400E-06,3.320E+00,2.000E-02
-7.300E-06,3.240E+00,2.000E-02
-7.200E-06,3.240E+00,2.000E-02
-7.100E-06,3.240E+00,2.000E-02
-7.000E-06,3.320E+00,2.000E-02
-6.900E-06,3.240E+00,2.000E-02
-6.800E-06,3.240E+00,2.000E-02
-6.700E-06,3.240E+00,2.000E-02
-6.600E-06,3.240E+00,2.000E-02
-6.500E-06,3.320E+00,2.000E-02
-6.400E-06,3.240E+00,2.000E-02
-6.300E-06,3.240E+00,2.000E-02
-6.200E-06,3.240E+00,2.000E-02
-6.100E-06,3.240E+00,2.000E-02
-6.000E-06,3.240E+00,2.000E-02
-5.900E-06,3.240E+00,2.000E-02
-5.800E-06,3.240E+00,2.000E-02
-5.700E-06,3.240E+00,2.000E-02
-5.600E-06,3.240E+00,2.000E-02
-5.500E-06,3.240E+00,2.000E-02
-5.400E-06,3.240E+00,2.000E-02
-5.300E-06,3.240E+00,2.000E-02
-5.200E-06,3.240E+00,2.000E-02
-5.100E-06,3.240E+00,2.000E-02
-5.000E-06,3.240E+00,2.000E-02
-4.900E-06,3.240E+00,2.000E-02
-4.800E-06,3.240E+00,2.000E-02
-4.700E-06,3.240E+00,2.000E-02
-4.600E-06,3.240E+00,2.000E-02
-4.500E-06,3.240E+00,2.000E-02
-4.400E-06,3.240E+00,2.000E-02
-4.300E-06,3.240E+00,2.000E-02
-4.200E-06,3.240E+00,2.000E-02
-4.100E-06,3.240E+00,2.000E-02
-4.000E-06,3.240E+00,2.000E-02
-3.900E-06,3.240E+00,2.000E-02
-3.800E-06,3.240E+00,2.000E-02
-3.700E-06,3.240E+00,2.000E-02
-3.600E-06,3.240E+00,2.000E-02
